Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Country Name,Region,Dis Mag Value,Total Deaths,No Injured,No Suffered,No Homeless,Total Affected,CPI
1972,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,11,15,0,0,15,16.35652475
1976,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,50,0,90000,0,90000,22.25960139
1982,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,7,500,3000,35000,0,38000,37.74582208
1983,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,7,12,483,27440,6580,34503,38.9583793
1984,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,1,35,0,0,35,40.63380386
1991,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,130,0,7000,0,7000,53.27115662
1994,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,160,330,100000,0,100330,57.97797424
1996,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,9,70,0,9855,0,9855,61.35162973
1997,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,71,40,0,20000,0,20000,62.7858352
1998,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,2323,818,32000,0,32818,63.76045524
1998,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,7,4700,1935,70000,45000,116935,63.76045524
1999,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,70,500,60185,31275,91960,65.15554686
2001,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,5,4,20,0,250,270,69.25933995
2002,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,3650,7,0,1200,0,1200,70.35781897
2002,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,150,13,3500,0,3513,70.35781897
2002,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,1170,39,0,4225,0,4225,70.35781897
2002,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,50,150,6000,0,6150,70.35781897
2002,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,1000,1228,80000,10000,91228,70.35781897
2003,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,2580,24,3,0,0,3,71.95500655
2003,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,2650,13,0,100,0,100,71.95500655
2003,Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,1440,33,0,0,250,250,71.95500655
2003,Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,14990,30,0,0,1000,1000,71.95500655
2003,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,5,1,1,0,1000,1001,71.95500655
2003,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,1250,11,0,0,2000,2000,71.95500655
2004,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,5,2,40,0,1000,1040,73.88141244
2004,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,78940,16,0,300,1700,2000,73.88141244
2005,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,82360,20,0,500,0,500,76.38802721
2005,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,7,5,1,500,0,501,76.38802721
2005,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,46050,3,0,0,1500,1500,76.38802721
2005,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,275300,200,3,11000,0,11003,76.38802721
2006,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,21480,21,150,465,0,615,78.85225551
2006,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,1,0,740,195,935,78.85225551
2006,Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,58310,19,25,5000,0,5025,78.85225551
2006,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,3116,54,0,0,8000,8000,78.85225551
2006,Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,5000,166,5,17575,0,17580,78.85225551
2007,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,25850,10,0,630,15,645,81.10165893
2007,Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,4110,9,0,0,2500,2500,81.10165893
2007,Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,15490,23,0,2000,950,2950,81.10165893
2007,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,62340,113,0,4000,0,4000,81.10165893
2007,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,304100,104,0,20000,0,20000,81.10165893
2009,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,5,22,59,0,3250,3309,83.91580741
2009,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,88520,39,16,60000,0,60016,83.91580741
2010,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,11,70,0,1000,1070,85.2920606
2010,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,176799,65,0,5000,0,5000,85.2920606
2010,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,65810,70,0,40000,0,40000,85.2920606
2011,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,63337,25,65,3000,0,3065,87.98460292
2012,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,6,73,2,0,235,237,89.80529293
2012,Hydrological,Flood,Riverine flood,Afghanistan,Southern Asia,21754,74,300,27469,0,27769,89.80529293
