,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000,2020
Afghanistan,3280146.75,3423867.1,3747746.7,4134343.55,4567195.05,5780482.5,7184742.35,8758858.6,11056915.25,14961812.35,29305568.0,39381884.5
Africa,82370494.45,91337651.4,110119574.1,121877979.5,133955497.6,143847402.6,169471275.1,229314766.85,364041215.7,625990934.5,1038877703.5,1357042291.5
Albania,417307.25,456203.0,505268.55,604385.75,732717.85,880918.45,1010799.05,1291414.95,2127672.95,2883536.2,3127610.55,3283233.5
Algeria,2588597.95,2735414.65,2891187.8,3450303.55,4204257.9,5285890.4,6481914.25,8946966.7,14455544.5,25242122.85,36218201.7,44233834.5
American Samoa,9225.2,23713.4,39639.2,55752.75,59112.142857142855,,,,,,,
Andorra,2654.2,2840.8,3268.2,3753.5,4309.15,4931.05,5456.65,7460.65,23961.5,52672.35,77291.8,84457.5
Angola,1567258.6,1808013.65,2382189.6,2814338.25,2972697.95,3128916.2,3376724.05,4550267.7,6301852.7,11804960.2,23363007.5,33399939.0
Anguilla,4014.0,6375.35,7910.85,12197.9,14719.857142857143,,,,,,,
Antigua and Barbuda,30409.05,33571.45,35214.6,36392.15,36993.1,37000.0,37306.3,46226.75,60058.75,65723.6,87009.5,98328.0
Argentina,467967.1,635228.8,1048430.6,1794434.15,3382003.4,6612416.5,11445637.45,16988176.0,23828494.2,32290393.5,40765294.4,45400800.0
Armenia,413363.95,451610.2,541655.8,647618.0,773830.35,924655.25,1108091.05,1412123.85,2467351.35,2958511.4,3254101.5,3537318.5
Aruba,15213.4,55458.6,63161.9,95895.15,105811.71428571429,,,,,,,
Asia,709291554.95,784622930.05,814313474.75,825795789.3,892990194.15,1016201208.7,1189750151.65,1442970724.1,2128010367.2,3181171521.25,4180377285.9,4659146208.5
Australia,257967.65,350675.55,693723.0,1727695.95,2955089.45,4351812.15,6184988.95,8279113.2,12467722.0,16739591.45,21956238.95,25644049.0
